"BEZEICHNUNG","THIS_YEAR"
"Vermögenswerte",137305
"Vermögenswerte",4206327.2
"Sonstige Sachanlagen",929812.94
"3. FINANZIELLE VERMÖGENSWERTE",5759164.49
"Latente Steuern",467483.98
"1. VORRÄTE",1233362
"UND SONSTIGE FORDERUNGEN",23269460.27
"Steuererstattungsansprüche",41746.54
"VERMÖGENSWERTE",0
"ZAHLUNGSMITTEL-ÄQUIVALENTE",35586820.16
"EPRM",47508000
"CCS",458000
"Sonstiges",2179000
"Impairment-Abschreibungen",170000
"1. Gezeichnetes Kapital",62261447
"2. Kapitalrücklage",17080368.5
"3. Bilanzgewinn (Vj.: Bilanzverlust)",6238605.21
"4. Umrechnungsrücklage",26685.12
"a) Steuerrückstellungen",584546
"b) Sonstige kurzfristige Rückstellungen",1493570.89
"a1) Latente Steuern",184216.17
"a2) Sonstige langfristige Schulden",422058.75
"Lieferungen und Leistungen",26112431.4
"b2) Verzinsliche Schulden",6188186.32
"Verbindlichkeiten",878405.72
"Kurzfristige Steuerschulden",136077.76
"Ergebnis nach Steuern",8002947.25
"+/- Abschreibungen/Zuschreibungen auf Geschäftswerte",169896
"+/- Zunahme/Abnahme der Rückstellungen",1703618.74
"+/- Sonstige zahlungsunwirksame Aufwendungen/Erträge",1266732.19
"-/+ Zunahme/Abnahme der kurzfristigen Vermögenswerte ohne Finanzmittel",15713135.21
"+/- Zunahme/Abnahme der sonstigen Schulden und Steuerschulden",20211102.08
"+/- Nicht zahlungswirksame Vorgänge aufgrund Erstkonsolidierungen",3606538.33
"+ Einzahlungen aus dem Abgang von Sachanlagen",50432
"-  Auszahlungen für Investitionen in Sachanlagen",469202.31
"+ Einzahlungen aus dem Abgang von immateriellen Vermögenswerten",2079
"-  Auszahlungen für Investitionen in immaterielle Vermögenswerte",4298920.87
"-  Auszahlungen für Geschäftswerte",2178679.89
"+ Einzahlungen aus dem Abgang von Finanzmittelanlagen",300000
"-  Auszahlungen aufgrund von Finanzmittelanlagen im Rahmen der fi nanziellen Vermögenswerte",4043162.35
"+ Einzahlungen aus Eigenkapitalzuführungen",26672079.5
"+/- Einzahlungen/Auszahlungen aus der Aufnahme Tilgung von (Finanz-)Krediten",331738
"Zahlungswirksame Veränderungen des Finanzmittelfonds",29161874.35
"+/- Wechselkurs-, konsolidierungskreis- und bewertungsbedingte Änderungen des Finanzmittelfonds",164.87
"nicht zahlungswirksame Eigenkapitalzuführungen",42135788
"Umsatzerlöse",48920817.52
"1. Aktivierte Eigenleistungen",0
"2. Bestandsveränderungen",1206783
"1. Materialaufwand",27134616.58
"2. Personalaufwand",8318394.52
"3. Abschreibungen",772251.32
"1. Sonstige betriebliche Erträge",1969947.71
"2. Sonstige betriebliche Aufwendungen",6425798.6
"1. Finanzaufwand",1002226.52
"2. Sonstige Finanzerträge",184154.83
"Ertragssteueraufwand",625468.27
"Ergebnis je Aktie",170
"Vermögenswerte",2644478.6
"c) Sonstige immaterielle Vermögenswerte",25403005
"Sonstige Sachanlagen",703930.27
"FINANZIELLE VERMÖGENSWERTE",3169782.34
"Latente Steuern",4069790.82
"VORRÄTE",82576.17
"FORDERUNGEN",56708446.56
"Steuererstattungsansprüche",413022.87
"VERMÖGENSWERTE",0
"ZAHLUNGSMITTELÄQUIVALENTE",59536922.32
"EPRM",54731000
"CCS",288000
"Sonstige",0
"Impairment-Abschreibungen",215000
"1. Gezeichnetes Kapital",79290882
"2. Kapitalrücklage",7426783.51
"3. Bilanzgewinn",21676922
"4. Umrechnungsrücklage",27346.76
"a) Steuerrückstellungen",1158381.82
"b) Sonstige kurzfristige Rückstellungen",1417701.57
"a1) Latente Steuern",1063681.3
"a2) Langfristige verzinsliche Schulden",6500000
"a3) Sonstige langfristige Schulden",266958.2
"Leistungen",56332882.66
"b2) Verzinsliche Schulden",4416555.71
"b3) Sonstige finanzielle Verbindlichkeiten",27958238.62
"Kurzfristige Steuerschulden",0
"Ergebnis nach Steuern",15438313.79
"+/- Abnahmen/Zunahmen aus Währungskusdifferenzen",1689.92
"+/- Abschreibungen/Zuschreibungen auf Geschäftswerte",214605
