"BEZEICHNUNG","THIS_YEAR"
"Selbsterstellte immaterielle Vermögenswerte",44308000
"Kundenbeziehungen",220509000
"Sonstige immaterielle Vermögenswerte",33375000
"Sonstige Sachanlagen",14220000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",127415000
"Latente Steueransprüche",5435000
"1. Vorräte und unfertige Leistungen",4658000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",278989000
"Steuererstattungsansprüche",8615000
"4. Verzinsliche Wertpapiere und Festgelder",68104000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",479095000
"Payment Processing & Risk Management",111233000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",165000
"1. Gezeichnetes Kapital",112292000
"2. Kapitalrücklage",141683000
"3. Gewinnrücklagen",360134000
"4. Währungsumrechnungsrücklage",5698000
"Langfristige verzinsliche Verbindlichkeiten",217389000
"Sonstige langfristige Verbindlichkeiten",12375000
"Latente Steuerschulden",17723000
"Verbindlichkeiten aus Lieferungen und Leistungen",259334000
"Verzinsliche Verbindlichkeiten",15662000
"Sonstige Rückstellungen",1225000
"Sonstige Verbindlichkeiten",31588000
"Kundeneinlagen aus dem Bankgeschäft",260231000
"Steuerrückstellungen",6580000
"Ergebnis nach Zinsen und Ertragssteuern",82729000
"Ergebnis aus dem Abgang von Anlagevermögen",63000
"Veränderung von Währungskursdifferenzen",3122000
"Veränderung der Vorräte",2541000
"sonstige Forderungen",64921000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",70391000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",8058000
"Auszahlungssaldo aus Ertragsteuern",13349000
"Gezahlte Zinsen ohne Darlehenszinsen",172000
"Erhaltene Zinsen",492000
"Sachanlagen",51326000
"Sachanlagen",9000
"verzinsliche Wertpapiere",83308000
"Zahlungsmittel",27559000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",10044000
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",3847000
"Einzahlungen aus der Ausgabe von Aktien",1357000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",140000000
"Finanzverbindlichkeiten",2534000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",2500000
"Dividendenausschüttung",12341000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",2908000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",72101000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",724000
"I. Umsatzerlöse",481744000
"1. Aktivierte Eigenleistungen",20727000
"1. Materialaufwand",288111000
"2. Personalaufwand",48190000
"3. Abschreibungen",27410000
"1. Sonstige Finanzerträge",1586000
"2. Finanzaufwand",5810000
"VII. Ertragsteueraufwand",11595000
"Ergebnis je Aktie (unverwässert) in EUR",740
"Rechtsberatungs- und Abschlusskosten",6897000
"Beratungs- und beratungsnahe Kosten",2799000
"Bürokosten",5925000
"Betriebsausstattung und Leasing",3594000
"Vertrieb und Marketing",6811000
"Personalnahe Aufwendungen",13070000
"Versicherungen, Beiträge und Abgaben",1209000
"Sonstiges",7083000
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",534000
"Erträge aus vertraglicher Beziehung",934000
"Erträge im Zusammenhang mit Übernahmen 2012",990000
"Erträge im Zusammenhang mit Übernahmen 2013",2613000
"Erträge aus Umrechnungsdifferenzen",568000
"Verbindlichkeiten",307000
"Erträge aus verrechneten Sachbezügen",311000
"Erträge Sonstiges",917000
"Selbsterstellte immaterielle Vermögenswerte",62173000
"Kundenbeziehungen",341365000
"Sonstige immaterielle Vermögenswerte",49229000
"Sonstige Sachanlagen",16292000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",123991000
"Latente Steueransprüche",894000
"1. Vorräte und unfertige Leistungen",3313000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",354602000
"Steuererstattungsansprüche",7103000
"4. Verzinsliche Wertpapiere und Festgelder",122919000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",695076000
"Payment Processing & Risk Management",170051000
"Acquiring & Issuing",47507000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",356000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493073000
"3. Gewinnrücklagen",453244000
"4. Währungsumrechnungsrücklage",3078000
"Langfristige verzinsliche Verbindlichkeiten",89329000
"Sonstige langfristige Verbindlichkeiten",29257000
"Latente Steuerschulden",28721000
"Verbindlichkeiten aus Lieferungen und Leistungen",298367000
"Verzinsliche Verbindlichkeiten",9030000
"Sonstige Rückstellungen",1284000
"Sonstige Verbindlichkeiten",60053000
"Kundeneinlagen aus dem Bankgeschäft",396733000
"Steuerrückstellungen",9498000
"Ergebnis nach Steuern",107929000
"Ergebnis aus dem Abgang von Vermögenswerten",294000
"Veränderung von Währungskursdifferenzen",1903000
"Veränderung der Vorräte",1510000
"sonstige Forderungen",74836000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",39835000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",6434000
"Auszahlungssaldo aus Ertragsteuern",15245000
"Gezahlte Zinsen ohne Darlehenszinsen",416000
"Erhaltene Zinsen",502000
"und Sachanlagen",74956000
"und Sachanlagen",6000
"und verzinsliche Wertpapiere",11500000
"Einzahlungen aus der Tilgung von Ausleihungen",2000000
"erworbener Zahlungsmittel",82817000
"konsolidierten Unternehmen",2496000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",5537000
"Tilgung Verbindlichkeiten aus Leasing",3564000
"Einzahlungen aus der Ausgabe von Aktien",366746000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",5695000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",76000000
"Finanzverbindlichkeiten",1218000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",225762000
"Dividendenausschüttung",14819000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",2612000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",142890000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",2164000
"I. Umsatzerlöse",601032000
"1. Aktivierte Eigenleistungen",24978000
"1. Materialaufwand",340599000
"2. Personalaufwand",66432000
"3. Abschreibungen",40085000
"1. Sonstige Finanzerträge",1362000
"2. Finanzaufwand",8100000
"VII. Ertragsteueraufwand",18190000
"Ergebnis je Aktie (unverwässert) in EUR",890
"Rechtsberatungs- und Abschlusskosten",6340000
"Beratungs- und beratungsnahe Kosten",2964000
"Bürokosten",6838000
"Betriebsausstattung und Leasing",4547000
"Vertrieb und Marketing",8453000
"Personalnahe Aufwendungen",12894000
"Versicherungen, Beiträge und Abgaben",1376000
"Sonstiges",10015000
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",923000
"Erträge aus vertraglicher Beziehung",843000
"Erträge im Zusammenhang mit Übernahmen 2012",0
"Erträge im Zusammenhang mit Übernahmen 2013",1568000
"Erträge aus Umrechnungsdifferenzen",1359000
"Erträge aus der Auflösung von Wertberichtigungen auf Forderungen",410000
"Erträge aus verrechneten Sachbezügen",398000
"Erträge Sonstiges",1889000
"Kundenbeziehungen",385451000
"Selbsterstellte immaterielle Vermögenswerte",80639000
"Sonstige immaterielle Vermögenswerte",65869000
"2. Sachanlagen",30987000
"Latente Steueransprüche",862000
"1. Vorräte und unfertige Leistungen",3599000
"2. Forderungen aus dem Acquiringbereich",334055000
"Steuererstattungsansprüche",8286000
"5. Verzinsliche Wertpapiere und Festgelder",133128000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1062968000
"Payment Processing & Risk Management",442242000
"Acquiring & Issuing",46771000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Anteile an nicht konsolidierten Unternehmen",80405000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",40293000
"Wertpapiere/Collared Floater",48900000
"Sonstiges",57554000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",68470000
"Sonstige Forderungen aus Lieferungen und Leistungen",23886000
"Sonstige Forderungen",20848000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",579837000
"4. Neubewertungsrücklage",78799000
"5. Umrechnungsrücklage",3630000
"Langfristige verzinsliche Verbindlichkeiten",358146000
"Latente Steuerschulden",53266000
"Verbindlichkeiten aus dem Acquiringbereich",333924000
"Verbindlichkeiten aus Lieferungen und Leistungen",25988000
"Verzinsliche Verbindlichkeiten",12579000
"Sonstige Rückstellungen",1421000
"Kundeneinlagen aus dem Bankgeschäft",582464000
"Steuerrückstellungen",14087000
"Earn-Out Verbindlichkeiten",58138000
"Leasingverbindlichkeiten",7938000
"variable Vergütung und Vorsorgebezüge",3117000
"Sonstige langfristige Verbindlichkeiten",2719000
"Abgegrenzte Schulden",19258000
"Leasingverbindlichkeiten",4730000
"Kaufpreisverbindlichkeiten",161974000
"Sonstige",15238000
"Ergebnis nach Steuern",142646000
"Ergebnis aus dem Abgang von Vermögenswerten",471000
"Veränderung von Währungskursdifferenzen",4593000
"Veränderung der Vorräte",286000
"Veränderung der Forderungen",76770000
"aus Lieferungen und Leistungen",56401000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",2680000
"Auszahlungssaldo aus Ertragsteuern",21892000
"Gezahlte Zinsen ohne Darlehenszinsen",260000
"Erhaltene Zinsen",580000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",50865000
"Auszahlungen für Investitionen in Sachanlagen",13147000
"Einzahlungen aus dem Verkauf von immateriellen Vermögenswerten und Sachanlagen",15000
"Wertpapiere",13798000
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",15000000
"Einzahlungen aus der Tilgung von Ausleihungen",0
"Zahlungsmittel",144545000
"Unternehmen",0
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",24274000
"Tilgung Verbindlichkeiten aus Leasing",6080000
"Einzahlungen aus der Ausgabe von Aktien",1684000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",271779000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",2294000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",8206000
"Dividendenausschüttung",16054000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",2633000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",184866000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",7304000
"Umsatzerlöse",771340000
"Aktivierte Eigenleistungen",28293000
"Materialaufwand",418935000
"Personalaufwand",96378000
"Abschreibungen (M&A bereinigt)*",29895000
"Abschreibungen (M&A bedingt)*",24576000
"Ertragsteueraufwand",23023000
"Ergebnis je Aktie (unverwässert) in EUR",1160
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",341000
"Erträge aus vertraglicher Beziehung",0
"Erträge im Zusammenhang mit Übernahmen 2013",1990000
"Erträge aus Umrechnungsdifferenzen",785000
"Erträge aus der Auflösung von Wertberichtigungen auf Forderungen",210000
"Erträge aus verrechneten Sachbezügen",448000
"Erträge Sonstiges",1884000
"Rechtsberatungs- und Abschlusskosten",8336000
"Beratungs- und beratungsnahe Kosten",3634000
"Bürokosten",8542000
"Betriebsausstattung und Leasing",8160000
"Vertrieb und Marketing",11387000
"Personalnahe Aufwendungen",10805000
"Versicherungen, Beiträge und Abgaben",1659000
"Sonstiges",10142000
"Aufzinsungen von Schulden",3925000
"Zinsaufwand aus Darlehen und Leasing",4893000
"Abschreibungen auf Finanzanlagen",453000
"währungsbedingte Aufwendungen",67000
"währungsbedingte Erträge",100000
"Zinserträge",1978000
"Erträge aus Wertpapieren und Ausleihungen",85000
"Kundenbeziehungen",392329000
"Selbsterstellte immaterielle Vermögenswerte",99224000
"Sonstige immaterielle Vermögenswerte",81682000
"2. Sachanlagen",44656000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14803000
"Latente Steueransprüche",2657000
"1. Vorräte und unfertige Leistungen",4540000
"2. Forderungen aus dem Acquiringbereich",402423000
"Steuererstattungsansprüche",9353000
"5. Verzinsliche Wertpapiere und Festgelder",156493000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1332631000
"Payment Processing & Risk Management",462526000
"Acquiring & Issuing",72078000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Anteile an nicht konsolidierten Unternehmen",0
"Visa Vorzugsaktien",15256000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",28534000
"Wandelschuldverschreibungen",32735000
"Festverzinsliche Wertpapiere",2805000
"Bankenbereich",42558000
"FinTech-Bereich)",85035000
"Sonstiges",9274000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",89892000
"Sonstige Forderungen aus Lieferungen und Leistungen",72239000
"Sonstige Forderungen",28053000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",829286000
"4. Sonstige Bestandteile des Eigenkapitals",27429000
"Langfristige verzinsliche Verbindlichkeiten",579475000
"Latente Steuerschulden",59747000
"Verbindlichkeiten aus dem Acquiringbereich",404767000
"Verbindlichkeiten aus Lieferungen und Leistungen",34920000
"Verzinsliche Verbindlichkeiten",15066000
"Sonstige Rückstellungen",3914000
"Kundeneinlagen aus dem Bankgeschäft",734003000
"Steuerrückstellungen",24276000
"Earn-Out-Verbindlichkeiten",16796000
"Leasingverbindlichkeiten",10983000
"Variable Vergütung und Vorsorgebezüge",1341000
"Sonstige langfristige Verbindlichkeiten",2306000
"Abgegrenzte Schulden",28558000
"Leasingverbindlichkeiten",8524000
"Kaufpreisverbindlichkeiten",60405000
"Sonstige",22019000
"Ergebnis nach Steuern",266749000
"Ergebnis aus dem Abgang von Vermögenswerten",616000
"Ergebnis aus dem Verkauf von zur Veräußerung verfügbaren finanziellen Vermögenswerten",89861000
"Veränderung von Währungskursdifferenzen",536000
"Veränderung der Vorräte",509000
"Veränderung der Forderungen",77887000
"Lieferungen und Leistungen",53788000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",9661000
"Auszahlungssaldo aus Ertragsteuern",24544000
"Gezahlte Zinsen ohne Darlehenszinsen",1936000
"Erhaltene Zinsen",343000
"Veränderung der langfristigen Aktiva aus dem Bankenbereich",64174000
"Veränderung der kurzfristiger Forderungen aus dem Bankenbereich",56810000
"Veränderung der Kundeneinlagen aus dem Bankgeschäft",148837000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",51158000
"Auszahlungen für Investitionen in Sachanlagen",22002000
"Einzahlungen aus dem Verkauf von immateriellen Vermögenswerten und Sachanlagen",0
"Auszahlungen für Investitionen in finanzielle Vermögenswerte und verzinsliche Wertpapiere",3305000
"Einzahlungen aus dem Verkauf von finanziellen Vermögenswerten",94055000
"erworbener Zahlungsmittel",54650000
"Auszahlungen für den Erwerb von assoziierten Unternehmen",15000000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",157600000
"Tilgung Verbindlichkeiten aus Leasing",6590000
"Einzahlungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",463758000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",5595000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",231371000
"Dividendenausschüttung",17299000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",6094000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",281501000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",3215000
"Umsatzerlöse",1028358000
"Aktivierte Eigenleistungen",30201000
"Materialaufwand",530761000
"Personalaufwand",129852000
"(at equity)",197000
"Abschreibungen (M&A bereinigt)*",39042000
"Abschreibungen (M&A bedingt)",33133000
"Ertragsteueraufwand",36091000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",2160
"Erträge aus Auflösung von Rückstellungen/abgegrenzten Schulden",1183000
"Erträge im Zusammenhang mit Übernahmen",1553000
"Erträge aus Umrechnungsdifferenzen",411000
"Erträge aus der Auflösung von Wertberichtigungen auf Forderungen",1807000
"Erträge aus verrechneten Sachbezügen",537000
"Erträge Sonstiges",2011000
"Rechtsberatungs- und Abschlusskosten",10583000
"Beratungs- und beratungsnahe Kosten",15614000
"Bürokosten",11432000
"Betriebsausstattung und Leasing",12242000
"Reise, Vertrieb und Marketing",16430000
"Personalnahe Aufwendungen",12208000
"Versicherungen, Beiträge und Abgaben",2735000
"Sonstiges",16645000
"Aufzinsungen von Schulden",2679000
"Zinsaufwand aus Darlehen und Leasing",13221000
"Aufwendungen aus Fair-Value-Bewertungen",9705000
"Abschreibungen auf Finanzanlagen",520000
"Währungsbedingte Aufwendungen",93000
"Währungsbedingte Erträge",0
"Zinserträge",347000
"Erträge aus Fair-Value-Bewertungen",1447000
"Erträge aus der Veräußerung von Visa Europe Ltd.",91576000
"Erträge aus Wertpapieren und Ausleihungen",499000
"Kundenbeziehungen",484941000
"Selbsterstellte immaterielle Vermögenswerte",120048000
"Sonstige immaterielle Vermögenswerte",109012000
"2. Sachanlagen",57460000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14588000
"Latente Steueransprüche",9118000
"1. Vorräte und unfertige Leistungen",13349000
"2. Forderungen aus dem Acquiringbereich",442012000
"Steuererstattungsansprüche",10956000
"5. Verzinsliche Wertpapiere und Festgelder",109099000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1901334000
"Payment Processing & Risk Management",528102000
"Acquiring & Issuing",147377000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",19436000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",20754000
"Wandelschuldverschreibungen",41884000
"Festverzinsliche Wertpapiere",1845000
"Bankenbereich",44644000
"FinTech-Bereich)",141359000
"Sonstige M&A bedingte Vermögenswerte",31949000
"Sonstiges",8297000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",102524000
"Forderungen aus dem Kartengeschäft",19049000
"Sonstige Forderungen aus Lieferungen und Leistungen",94788000
"Sonstige Forderungen",53307000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",1069234000
"4. Sonstige Bestandteile des Eigenkapitals",52298000
"Langfristige verzinsliche Verbindlichkeiten",754792000
"Latente Steuerschulden",76916000
"Verbindlichkeiten aus dem Acquiringbereich",422640000
"Verbindlichkeiten aus Lieferungen und Leistungen",71393000
"Verzinsliche Verbindlichkeiten",311611000
"Sonstige Rückstellungen",2403000
"Kundeneinlagen aus dem Bankgeschäft",973178000
"Steuerrückstellungen",44596000
"Earn-Out Verbindlichkeiten",16769000
"Leasingverbindlichkeiten",13675000
"variable Vergütung und Vorsorgebezüge",1891000
"Sonstige M&A bedingte Verbindlichkeiten",52376000
"Sonstige langfristige Verbindlichkeiten",695000
"Abgegrenzte Schulden",58698000
"Leasingverbindlichkeiten",12390000
"Kaufpreisverbindlichkeiten",42640000
"Sonstige",35674000
"Ergebnis nach Steuern",259719000
"Ergebnis aus dem Abgang von Vermögenswerten",2053000
"Ergebnis aus dem Verkauf von zur Veräußerung verfügbaren finanziellen Vermögenswerten",0
"Veränderung von Währungskursdifferenzen",1003000
"Veränderung der Vorräte",6767000
"Veränderung der Forderungen",94162000
"Lieferungen und Leistungen",55069000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",9872000
"Auszahlungssaldo aus Ertragsteuern",28390000
