"BEZEICHNUNG","THIS_YEAR"
"Selbsterstellte immaterielle Vermögenswerte",31459000
"Sonstige immaterielle Vermögenswerte",26238000
"Kundenbeziehungen",160208000
"Sonstige Sachanlagen",11250000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",107915000
"Latente Steueransprüche",576000
"1. Vorräte und unfertige Leistungen",1250000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",256492000
"Steuererstattungsansprüche",8424000
"4. Verzinsliche Wertpapiere und Festgelder",111116000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",322545000
"Payment Processing & Risk Management",107422000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzgl. Impairment-Abschreibungen",0
"abzgl. Goodwill Anpassung aufgrund von Währungskursschwankungen",287000
"1. Gezeichnetes Kapital",112192000
"2. Kapitalrücklage",140425000
"3. Gewinnrücklagen",306278000
"4. Umrechnungsrücklage",256000
"Langfristige verzinsliche Verbindlichkeiten",100031000
"Sonstige langfristige Verbindlichkeiten",11912000
"Latente Steuerschulden",13288000
"Verbindlichkeiten aus Lieferungen und Leistungen",223939000
"Verzinsliche Verbindlichkeiten",13602000
"Sonstige Rückstellungen",1249000
"Sonstige Verbindlichkeiten",24459000
"Kundeneinlagen aus dem Bankgeschäft",223701000
"Steuerrückstellungen",8515000
"Ergebnis vor Zinsen und Ertragsteuern (EBIT)",21070000
"Gewinn/Verlust aus dem Abgang von Anlagevermögen",0
"Effekte aus Währungskursschwankungen",112000
"Zunahme/Abnahme der Vorräte",376000
"sonstiger Forderungen",41875000
"Zunahme/Abnahme anderer Aktiva",11632000
"Zunahme/Abnahme der Rückstellungen",130000
"Zunahme/Abnahme lfr. Schulden ohne Finanzschulden",85000
"Zunahme/Abnahme Verbindlichkeiten aus Lieferungen und Leistungen",36776000
"Zunahme/Abnahme anderer kurzfristiger Passiva",34000
"Auszahlungssaldo aus Ertragsteuern",707000
"Gezahlte Zinsen ohne Darlehenszinsen",26000
"Erhaltene Zinsen",143000
"Capital aus Erstkonsolidierung",1000000
"Sachanlagen",16432000
"Sachanlagen",0
"verzinsliche Wertpapiere",2101000
"konsolidierter Gesellschaften",1000000
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",478000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",20000000
"Finanzverbindlichkeiten",12000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",1250000
"Gezahlte Zinsen aus Darlehen",768000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",8417000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",377000
"I. Umsatzerlöse",101084000
"1. Aktivierte Eigenleistungen",3673000
"1. Materialaufwand",59188000
"2. Personalaufwand",11007000
"3. Abschreibungen",5264000
"1. Sonstige betriebliche Erträge",840000
"1. Sonstige Finanzerträge",510000
"2. Finanzaufwand",1464000
"VII. Ertragsteueraufwand",3585000
"Ergebnis je Aktie (unverwässert) in EUR",150
"Rechtsberatungs- und Abschlusskosten",1135000
"Beratungs- und beratungsnahe Kosten",1966000
"Bürokosten",1307000
"Betriebsausstattung und Leasing",1231000
"Vertrieb und Marketing",1554000
"Sonstiges",1875000
"Selbsterstellte immaterielle Vermögenswerte",48229000
"Kundenbeziehungen",288216000
"Sonstige immaterielle Vermögenswerte",39869000
"Sonstige Sachanlagen",15103000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",88653000
"Latente Steueransprüche",2359000
"1. Vorräte und unfertige Leistungen",3282000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",306479000
"Steuererstattungsansprüche",7695000
"4. Verzinsliche Wertpapiere und Festgelder",146561000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",621960000
"Payment Processing & Risk Management",135807000
"Acquiring & Issuing",34439000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",121000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493096000
"3. Gewinnrücklagen",381280000
"4. Währungsumrechnungsrücklage",2723000
"Langfristige verzinsliche Verbindlichkeiten",91289000
"Sonstige langfristige Verbindlichkeiten",16381000
"Latente Steuerschulden",23961000
"Verbindlichkeiten aus Lieferungen und Leistungen",234230000
"Verzinsliche Verbindlichkeiten",13249000
"Sonstige Rückstellungen",1329000
"Sonstige Verbindlichkeiten",50426000
"Kundeneinlagen aus dem Bankgeschäft",304368000
"Steuerrückstellungen",8443000
"Ergebnis nach Zinsen und Ertragssteuern",21145000
"Veränderung von Währungskursdifferenzen",118000
"Veränderung der Vorräte",1376000
"sonstige Forderungen",23424000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",21263000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",3016000
"Auszahlungssaldo aus Ertragsteuern",2240000
"Gezahlte Zinsen ohne Darlehenszinsen",97000
"Erhaltene Zinsen",258000
"Sachanlagen",12297000
"verzinsliche Wertpapiere",18000
"Zahlungsmittel",40771000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",0
"Aufnahme/Tilgung Verbindlichkeiten aus Leasing",1146000
"Einzahlungen aus der Ausgabe von Aktien",366746000
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",5679000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",0
"Finanzverbindlichkeiten",305000
"Auszahlungen aus der Tilgung von Finanzverbindlichkeiten",126250000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",863000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",165933000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",20000
"I. Umsatzerlöse",126231000
"1. Aktivierte Eigenleistungen",5506000
"1. Materialaufwand",72031000
"2. Personalaufwand",14587000
"3. Abschreibungen",8811000
"1. Sonstige betriebliche Erträge",1970000
"1. Sonstige Finanzerträge",615000
"2. Finanzaufwand",1752000
"VII. Ertragsteueraufwand",3945000
"Ergebnis je Aktie (unverwässert) in EUR",180
"Rechtsberatungs- und Abschlusskosten",868000
"Beratungs- und beratungsnahe Kosten",3276000
"Bürokosten",1673000
"Betriebsausstattung und Leasing",987000
"Vertrieb und Marketing",1787000
"Sonstiges",3459000
"Kundenbeziehungen",347150000
"Selbsterstellte immaterielle Vermögenswerte",65892000
"Sonstige immaterielle Vermögenswerte",49194000
"Sonstige Sachanlagen",25705000
"3. Finanzielle und andere Vermögenswerte / verzinsliche Wertpapiere",127000000
"Latente Steueransprüche",957000
"1. Vorräte und unfertige Leistungen",5084000
"2. Forderungen aus Lieferungen und Leistungen und sonstige Forderungen",371881000
"Steuererstattungsansprüche",8664000
"4. Verzinsliche Wertpapiere und Festgelder",136237000
"5. Zahlungsmittel und Zahlungsmitteläquivalente",708346000
"Payment Processing & Risk Management",174743000
"Acquiring & Issuing",47507000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Geschäftswertanpassung A&I aufgrund von Währungskursschwankungen",1006000
"1. Gezeichnetes Kapital",123491000
"2. Kapitalrücklage",493073000
"3. Gewinnrücklagen",481840000
"4. Währungsumrechnungsrücklage",13361000
"Langfristige verzinsliche Verbindlichkeiten",124172000
"Sonstige langfristige Verbindlichkeiten",32834000
"Latente Steuerschulden",30500000
"Verbindlichkeiten aus Lieferungen und Leistungen",282562000
"Verzinsliche Verbindlichkeiten",6821000
"Sonstige Rückstellungen",1046000
"Sonstige Verbindlichkeiten",47140000
"Kundeneinlagen aus dem Bankgeschäft",423605000
"Steuerrückstellungen",9211000
"Ergebnis nach Steuern",28596000
"Ergebnis aus dem Abgang von Vermögenswerten",243000
"Veränderung von Währungskursdifferenzen",3470000
"Veränderung der Vorräte",1772000
"sonstige Forderungen",11545000
"Veränderung der Verbindlichkeiten aus Lieferungen und Leistungen",14739000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",10544000
"Auszahlungssaldo aus Ertragsteuern",4229000
"Gezahlte Zinsen ohne Darlehenszinsen",113000
"Erhaltene Zinsen",506000
"und Sachanlagen",12579000
"und Sachanlagen",3000
"und verzinsliche Wertpapiere",10000000
"Einzahlungen aus der Tilgung von Ausleihungen",0
"abzgl. erworbener Zahlungsmittel",13142000
"konsolidierten Unternehmen",0
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",11394000
"Tilgung Verbindlichkeiten aus Leasing",1255000
"Einzahlungen aus der Ausgabe von Aktien",0
"Auszahlungen für Aufwendungen aus der Ausgabe von Aktien",0
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",35000000
"Finanzverbindlichkeiten",361000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",1427000
"Dividendenausschüttung",0
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",348000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",15130000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",922000
"Umsatzerlöse",159413000
"Aktivierte Eigenleistungen",5871000
"Materialaufwand",87767000
"Personalaufwand",20711000
"Sonstige betriebliche Erträge",3103000
"Abschreibung (M&A bereinigt)",7295000
"PPA bedingte Abschreibung",5329000
"Sonstige Finanzerträge",846000
"Finanzaufwand",1931000
"Ertragsteueraufwand",3729000
"Ergebnis je Aktie (unverwässert) in EUR",230
"Rechtsberatungs- und Abschlusskosten",1387000
"Beratungs- und beratungsnahe Kosten",2198000
"Bürokosten",1897000
"Betriebsausstattung und Leasing",1332000
"Vertrieb und Marketing",2607000
"Sonstiges",4454000
"Kundenbeziehungen",406490000
"Selbsterstellte immaterielle Vermögenswerte",85539000
"Sonstige immaterielle Vermögenswerte",70049000
"2. Sachanlagen",35784000
"Latente Steueransprüche",1632000
"1. Vorräte und unfertige Leistungen",4904000
"2. Forderungen aus dem Acquiringbereich",290353000
"Steuererstattungsansprüche",9827000
"5. Verzinsliche Wertpapiere und Festgelder",211368000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",984433000
"Payment Processing & Risk Management",443692000
"Acquiring & Issuing",69959000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Anteile an nicht konsolidierten Unternehmen",80221000
"Anteile an assoziierten Unternehmen",15000000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",41153000
"Wertpapiere/Collared Floater",61531000
"Sonstiges",74716000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",89363000
"Sonstige Forderungen aus Lieferungen und Leistungen",35076000
"Sonstige Forderungen",12142000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",616447000
"4. Neubewertungsrücklage",78816000
"5. Umrechnungsrücklage",8135000
"Langfristige verzinsliche Verbindlichkeiten",273720000
"Latente Steuerschulden",58189000
"Verbindlichkeiten aus dem Acquiringbereich",282453000
"Verbindlichkeiten aus Lieferungen und Leistungen",18102000
"Verzinsliche Verbindlichkeiten",220445000
"Sonstige Rückstellungen",1563000
"Kundeneinlagen aus dem Bankgeschäft",661381000
"Steuerrückstellungen",18565000
"Earn-Out Verbindlichkeiten",67580000
"Leasingverbindlichkeiten",6957000
"variable Vergütung und Vorsorgebezüge",3464000
"Sonstige langfristige Verbindlichkeiten",1534000
"Abgegrenzte Schulden",13906000
"Leasingverbindlichkeiten",4401000
"Kaufpreisverbindlichkeiten",72481000
"Sonstige",13402000
"Ergebnis nach Steuern",36610000
"Ergebnis aus dem Abgang von Vermögenswerten",0
"Veränderung von Währungskursdifferenzen",8000
"Veränderung der Vorräte",872000
"Veränderung der Forderungen",43759000
"Leistungen",84554000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",25747000
"Auszahlungssaldo aus Ertragsteuern",2606000
"Gezahlte Zinsen ohne Darlehenszinsen",87000
"Erhaltene Zinsen",52000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",9589000
"Auszahlungen für Investitionen in Sachanlagen",3488000
"Einzahlungen aus dem Verkauf von immateriellen Vermögenswerten und Sachanlagen",0
"Wertpapiere",15000000
"Zahlungsmittel",51800000
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",91000000
"Tilgung Verbindlichkeiten aus Leasing",1409000
"Einzahlungen aus der Aufnahme von Finanzverbindlichkeiten",140613000
"Auszahlungen für Aufwendungen aus der Aufnahme von Finanzverbindlichkeiten",2636000
"Auszahlungen für die Tilgung von Finanzverbindlichkeiten",11427000
"Gezahlte Zinsen aus Darlehen und Finanzierungsleasing",1433000
"Zahlungswirksame Veränderungen des Finanzmittelbestands",55256000
"Wechselkursbedingte Änderungen des Finanzmittelbestands",851000
"Umsatzerlöse",210470000
"Aktivierte Eigenleistungen",5670000
"Materialaufwand",110357000
"Personalaufwand",27698000
"Sonstige betriebliche Erträge",343000
"Anteiliges Ergebnis aus assoziierten Unternehmen (at equity)",19000
"Abschreibungen (M&A bereinigt)*",8620000
"Abschreibungen (M&A bedingt)",7299000
"Sonstige Finanzerträge",372000
"Finanzaufwand",3663000
"Ertragsteueraufwand",6156000
"Ergebnis je Aktie (unverwässert und verwässert) in EUR",300
"Rechtsberatungs- und Abschlusskosten",1535000
"Beratungs- und beratungsnahe Kosten",2414000
"Bürokosten",2352000
"Betriebsausstattung und Leasing",2404000
"Vertrieb und Marketing",3110000
"Personalnahe Aufwendungen",971000
"Versicherungen, Beiträge und Abgaben",263000
"Sonstiges",3382000
"Kundenbeziehungen",501148000
"Selbsterstellte immaterielle Vermögenswerte",105141000
"Sonstige immaterielle Vermögenswerte",83428000
"2. Sachanlagen",51688000
"3. Nach der Equity-Methode bilanzierte Beteiligungen",14842000
"Latente Steueransprüche",2951000
"1. Vorräte und unfertige Leistungen",8934000
"2. Forderungen aus dem Acquiringbereich",389374000
"Steuererstattungsansprüche",7316000
"5. Verzinsliche Wertpapiere und Festgelder",114653000
"6. Zahlungsmittel und Zahlungsmitteläquivalente",1450922000
"Payment Processing & Risk Management",479523000
"Acquiring & Issuing",165422000
"Call Center & Communication Services",288000
"abzüglich: Impairment-Abschreibungen",0
"Visa Vorzugsaktien",17133000
"Finanzierungsvereinbarungen (u.a. Vertriebspartner)",28534000
"Wandelschuldverschreibungen",32877000
"Festverzinsliche Wertpapiere",2079000
"Bankenbereich",50538000
"FinTech-Bereich)",88637000
"Sonstiges",7564000
"Forderungen aus dem Bankenbereich (im Wesentlichen aus FinTech-Bereich)",84261000
"Forderungen aus dem Kartengeschäft",18112000
"Sonstige Forderungen aus Lieferungen und Leistungen",80563000
"Sonstige Forderungen",32938000
"1. Gezeichnetes Kapital",123566000
"2. Kapitalrücklage",494682000
"3. Gewinnrücklagen",877777000
"4. Sonstige Bestandteile des Eigenkapitals",32317000
"Langfristige verzinsliche Verbindlichkeiten",615875000
"Latente Steuerschulden",94259000
"Verbindlichkeiten aus dem Acquiringbereich",366268000
"Verbindlichkeiten aus Lieferungen und Leistungen",46264000
"Verzinsliche Verbindlichkeiten",204239000
"Sonstige Rückstellungen",2693000
"Kundeneinlagen aus dem Bankgeschäft",759614000
"Steuerrückstellungen",29008000
"Earn-Out Verbindlichkeiten",20662000
"Leasingverbindlichkeiten",16241000
"variable Vergütung und Vorsorgebezüge",1341000
"Sonstige langfristige Verbindlichkeiten",2705000
"Abgegrenzte Schulden",29362000
"Leasingverbindlichkeiten",8677000
"Kaufpreisverbindlichkeiten",72027000
"Sonstige",21293000
"Ergebnis nach Steuern",48491000
"Ergebnis aus dem Abgang von Vermögenswerten",61000
"Veränderung von Währungskursdifferenzen",1849000
"Veränderung der Vorräte",1591000
"Veränderung der Forderungen",4076000
"Lieferungen und Leistungen",45211000
"Veränderung der sonstigen Vermögenswerte und Verbindlichkeiten",5090000
"Auszahlungssaldo aus Ertragsteuern",2998000
"Gezahlte Zinsen ohne Darlehenszinsen",287000
"Erhaltene Zinsen",516000
"Veränderung der langfristigen Aktiva aus dem Bankenbereich",11582000
"Veränderung der kurzfristiger Forderungen aus dem Bankenbereich",45796000
"Veränderung der Kundeneinlagen aus dem Bankgeschäft",24562000
"Auszahlungen für Investitionen in immaterielle Vermögenswerte",12159000
"Auszahlungen für Investitionen in Sachanlagen",2934000
"Erworbener Zahlungsmittel",176143000
"Auszahlungen für den Erwerb von assoziierten Unternehmen",0
"Auszahlungen für den Erwerb von Gesellschaften aus Vorjahren",4986000
