"31,81,978"
"34,62,720"
"42,13,750"
"41,55,276"
"41,22,808"
"44,78,424"
"45,14,486"
"46,92,677"
"40,99,970"
"45,28,196"
"41,51,783"
"37,41,839"
"40,82,398"
"61,37,425"
"62,05,627"
"70,06,363"
"82,92,545"
"72,44,640"
"89,42,721"
"73,80,719"
"91,09,832"
"89,33,643"
"84,66,931"
"85,82,333"
"1,03,80,847"
"93,71,246"
"1,09,14,033"
"1,33,94,876"
"1,58,65,782"
"1,47,72,328"
"1,50,21,560"
"1,71,21,338"
"1,69,70,764"
"1,64,04,102"
"1,66,54,070"
"1,67,48,063"
"1,71,70,934"
"1,69,18,787"
"1,77,07,312"
"1,77,66,976"
"1,78,82,281"
"1,72,39,857"
"1,74,33,637"
"1,71,31,876"
"1,77,75,373"
"1,77,06,937"
"1,84,07,960"
"1,84,05,578"
"1,83,38,336"
"1,67,93,084"
"1,83,83,535"
"1,81,56,162"
"1,75,85,986"
"1,82,16,328"
"1,84,02,414"
"1,93,94,967"
"1,91,65,593"
"1,82,87,033"
"1,79,19,033"
"1,85,52,119"
"1,94,87,255"
"2,04,13,030"
"1,94,65,192"
"1,88,73,955"
"1,92,45,046"
"1,99,31,213"
"2,10,12,763"
"1,96,77,627"
"2,03,57,108"

"1,92,87,765"
"1,92,09,397"
"1,99,98,476"
"1,97,54,323"
"1,98,59,394"
"2,15,36,988"
"2,00,24,400"
"2,02,20,496"

"2,36,43,108"
"2,29,87,965"
"2,32,09,892"
"2,24,84,217"
"2,43,07,071"
"2,40,55,096"
"2,36,83,201"
"2,54,24,492"
"2,41,64,413"
"2,29,02,178"
"2,41,44,813"
"2,61,53,938"
"2,65,24,572"
"2,81,11,962"
"2,87,07,728"
"2,88,73,393"
"3,09,44,335"
"2,96,26,042"
"3,06,05,179"
"2,95,30,932"
"3,38,20,866"
"3,02,24,765"
"2,88,84,074"
"3,32,43,615"
"3,47,65,217"
"3,88,23,594"
"4,24,41,837"
"3,77,25,326"
"3,80,60,027"
"4,05,59,504"
"4,50,03,024"
"4,20,72,980"
"4,19,17,426"
"4,42,02,886"
"4,31,55,535"
"5,06,59,376"
"5,64,30,733"
"5,85,10,028"
"5,72,12,781"
"6,04,27,802"
"6,47,79,075"
"6,54,92,720"
"8,25,15,705"
"6,43,84,851"
"5,90,54,470"
"5,49,57,197"
"5,70,86,079"
"5,13,16,420"
"5,28,98,145"
"5,46,00,395"
"5,56,45,776"
"6,03,62,490"
"6,51,32,721"
"6,70,43,792"
"6,46,75,414"
"6,98,97,336"
"7,02,20,041"
"7,03,56,983"
"7,55,13,346"
"7,40,79,419"
"7,37,12,767"
"7,60,06,493"
"7,36,70,386"
"7,83,84,910"
"7,60,75,277"
"7,19,30,354"
"7,45,82,384"
"7,65,47,247"
"8,27,66,332"
"8,29,18,536"
"6,26,49,391"
"7,11,48,760"
"5,98,70,856"
"6,31,91,162"
"6,35,48,951"
"6,66,47,024"
"6,37,65,926"
"7,03,92,661"
"7,02,68,142"
"6,31,07,266"
"6,04,06,783"
"6,20,30,385"
"6,15,29,857"
"7,10,10,194"
"7,46,07,283"
"6,92,89,441"
"6,23,51,090"
"6,87,79,467"
"6,81,29,330"
"6,69,05,404"
"6,78,17,389"
"6,50,39,279"
"7,65,77,649"
"7,78,28,023"
"7,30,44,064"
"7,88,68,022"
"8,30,55,900"
"8,73,10,537"
"9,03,46,661"
"8,19,70,124"
"7,76,73,919"
"8,24,07,581"
"9,08,12,590"
"8,67,36,416"
"10,10,85,364"
"9,40,69,743"
"9,43,15,496"
"8,60,75,781"
"8,90,11,208"
"8,95,42,070"
"9,21,62,662"
"8,66,23,619"
"8,64,96,617"
"9,08,77,197"
"8,90,52,942"
"9,24,41,807"
"9,85,01,643"
"9,60,40,841"
"9,73,77,102"
"10,23,96,251"
"11,15,35,229"
"14,60,35,039"
"12,80,69,694"
"12,18,95,471"
"12,03,92,937"
"12,50,31,544"
"12,44,65,280"
"13,16,99,522"
"12,54,98,667"
"12,40,31,292"
"12,85,25,310"
"13,58,07,221"
"12,97,53,493"
"13,55,33,128"
"13,02,76,330"
"12,46,70,138"
"13,06,21,083"
"14,16,88,608"
"13,84,53,839"
"14,19,70,235"
"25,87,34,178"
"23,97,71,510"
"30,51,58,246"
"26,22,80,396"
"26,19,69,922"
"33,63,90,198"
"29,02,90,819"
"30,12,29,798"
"29,51,30,098"
"28,77,18,511"
"28,63,71,573"
"30,33,40,691"
"30,30,90,959"
"30,30,70,938"
"53,68,23,656"
"52,85,20,676"
"52,76,45,839"
"52,82,05,843"
"59,49,34,705"
"62,92,56,329"
"62,63,26,670"
"62,93,18,878"
"68,31,58,232"
"70,24,92,126"
"69,92,20,077"
"78,23,82,546"
"83,76,87,344"
"99,82,51,767"
"1,20,74,58,582"
"1,38,12,36,193"
"1,55,46,46,635"
"1,72,24,57,302"
"1,83,64,57,071"
"1,76,46,87,018"
"1,73,34,46,551"
"1,86,74,22,293"
"1,77,42,18,971"
"1,79,70,82,905"
"1,93,46,60,523"
"1,95,93,84,772"
"2,09,46,30,350"
"2,18,65,29,884"
"2,25,62,25,622"
"2,32,71,96,165"
"2,39,61,54,287"
"2,50,96,11,487"
"2,76,63,27,702"
"2,92,05,25,859"
"2,71,43,85,221"
"2,83,10,80,950"
"3,04,29,43,845"
"3,30,22,25,248"
"3,29,48,00,000"
"3,53,27,00,000"
"3,74,24,00,000"
"3,87,07,00,000"
"3,88,70,00,000"
"4,66,80,00,000"
"4,24,20,00,000"
"5,48,40,00,000"
"6,56,40,00,000"
"6,94,50,00,000"
"7,67,70,00,000"
"8,15,60,00,000"
"10,00,40,00,000"
"10,19,30,00,000"
"11,06,50,00,000"
"12,11,20,00,000"
"12,70,10,00,000"
"15,96,10,00,000"
"14,31,50,00,000"
"19,60,30,00,000"
"19,21,90,00,000"
"17,25,60,00,000"
"16,88,90,00,000"
"17,35,00,00,000"
"18,67,90,00,000"
"19,69,40,00,000"
"20,28,00,00,000"
"24,56,90,00,000"
"26,35,10,00,000"
"24,19,50,00,000"
"25,18,10,00,000"
"26,91,70,00,000"
"32,68,10,00,000"
"1,01,95,60,00,000"
"80,75,60,00,000"
"37,85,00,00,000"
"41,35,20,00,000"
"46,71,20,00,000"
"48,56,50,00,000"
"55,71,40,00,000"
"61,79,90,00,000"
"18,74,226"
"24,04,014"
"21,85,856"
"23,10,502"
"24,26,227"
"20,26,605"
"20,00,573"
"17,44,520"
"16,85,296"
"13,88,402"
"18,11,375"
"18,21,950"
"31,10,417"
"17,63,767"
"21,49,154"
"25,85,036"
"11,36,609"
"24,23,694"
"17,69,385"
"31,01,308"
"26,66,869"
"11,21,570"
"3,24,197"
"6,24,836"
"8,93,407"
"27,51,945"
"45,25,530"
"68,96,203"
"32,54,354"
"26,73,765"
"35,34,343"
"35,77,215"
"29,10,190"
"31,14,345"
"28,31,606"
"26,21,294"
"23,37,512"
"29,48,515"
"31,78,500"
"31,46,264"
"30,37,964"
"33,31,766"
"32,45,666"
"30,54,899"
"38,14,476"
"50,83,795"
"43,98,942"
"55,04,351"
"48,16,021"
"39,34,623"
"35,81,632"
"30,21,293"
"40,25,697"
"39,44,309"
"41,92,735"
"41,94,369"
"35,42,778"
"26,96,788"
"23,48,537"
"30,10,294"
"39,62,700"
"39,47,797"
"36,07,922"
"37,68,488"
"38,68,482"
"33,08,000"
"45,76,003"
"43,10,900"

"29,89,835"
"35,77,588"
"40,89,527"
"42,04,551"
"33,10,903"
"37,40,609"
"29,71,109"
"36,80,700"

"36,08,655"
"43,46,021"
"58,78,036"
"60,06,577"
"73,41,477"
"75,18,806"
"63,65,136"
"83,30,539"
"81,19,298"
"64,86,678"
"37,69,651"
"41,78,990"
"50,27,819"
"60,12,224"
"63,70,580"
"60,16,979"
"85,41,192"
"79,00,687"
"76,77,493"
"52,46,448"
"1,13,27,186"
"1,05,49,256"
"99,86,542"
"85,13,378"
"81,61,517"
"1,10,92,185"
"1,34,72,068"
"1,15,65,984"
"60,82,924"
"1,06,36,319"
"1,37,40,648"
"1,05,09,024"
"81,39,436"
"87,74,513"
"1,03,40,345"
"77,95,929"
"1,25,42,890"
"1,77,09,503"
"2,07,44,342"
"1,89,57,351"
"2,30,71,314"
"1,48,47,087"
"2,13,02,791"
"2,44,23,359"
"2,00,87,990"
"2,09,65,990"
"1,60,10,990"
"1,24,76,900"
"1,36,58,830"
"1,43,41,128"
"1,94,47,588"
"2,05,73,258"
"1,86,85,015"
"1,98,18,028"
"1,97,36,665"
"2,00,38,890"
"1,99,27,574"
"1,84,97,450"
"1,93,73,574"
"1,81,23,800"
"2,13,08,405"
"1,96,47,299"
"1,61,80,761"
"1,71,37,396"
"1,70,88,441"
"1,73,25,586"
"1,70,32,742"
"1,73,01,353"
"2,05,16,292"
"1,83,48,420"
"1,65,07,279"
"1,61,21,340"
"1,49,74,979"
"1,45,59,821"
"1,70,59,083"
"1,73,84,268"
"1,71,30,596"
"1,65,42,999"
"1,64,73,753"
"1,47,42,604"
"1,45,24,440"
"1,54,05,906"
"1,50,33,789"
"1,33,66,305"
"1,41,56,047"
"1,36,31,090"
"1,22,30,676"
"1,48,45,441"
"1,46,77,979"
"1,48,09,484"
"1,46,58,111"
"1,39,00,383"
"1,70,95,968"
"1,72,52,979"
"1,80,61,437"
"1,78,16,214"
"1,68,99,911"
"1,79,80,344"
"1,73,67,203"
"1,78,81,507"
"1,75,88,684"
"1,78,70,814"
"2,00,11,076"
"1,91,66,513"
"1,86,73,428"
"2,04,67,893"
"1,88,16,708"
"1,78,65,243"
"1,71,18,272"
"1,81,87,963"
"1,87,86,701"
"1,85,04,585"
"1,78,64,682"
"2,14,30,132"
"1,96,84,761"
"1,91,98,494"
"1,78,70,131"
"1,59,41,097"
"1,66,62,152"
"1,47,23,483"
"1,82,63,388"
"2,03,54,228"
"2,08,73,758"
"1,97,79,465"
"1,92,18,074"
"2,38,38,325"
"1,88,74,280"
"2,40,34,386"
"2,19,94,153"
"2,66,64,734"
"2,30,38,485"
"2,38,23,767"
"2,28,88,656"
"2,17,62,116"
"2,21,35,790"
"2,14,48,324"
"2,22,65,393"
"2,25,50,936"
"2,04,69,046"
"1,86,87,758"
"3,43,59,184"
"4,02,74,200"
"8,98,80,759"
"6,37,84,982"
"5,76,31,644"
"9,25,87,423"
"3,84,65,056"
"5,59,80,466"
"5,60,17,780"
"5,99,32,355"
"5,06,61,730"
"4,69,77,728"
"3,86,99,748"
"3,94,18,027"
"27,75,02,087"
"26,80,39,753"
"27,06,82,252"
"28,72,49,311"
"33,17,25,550"
"32,07,43,349"
"32,80,37,781"
"32,78,59,108"
"27,16,22,083"
"28,57,48,388"
"46,73,90,264"
"69,05,08,235"
"77,23,93,307"
"92,84,43,854"
"1,13,74,26,213"
"1,32,87,86,430"
"1,47,63,19,019"
"1,60,37,26,088"
"1,71,76,23,782"
"1,60,15,25,403"
"1,58,99,58,568"
"1,75,21,88,018"
"1,64,74,37,932"
"1,69,75,82,821"
"1,86,29,59,902"
"1,88,41,14,274"
"1,94,34,29,064"
"2,09,41,06,166"
"2,15,30,68,103"
"2,22,26,75,614"
"2,30,91,95,369"
"2,41,28,01,707"
"2,65,59,53,220"
"2,81,95,89,302"
